Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
pid,summary,,text,PID is the five digit pin + entry date + random number,,,,,,y,,,,,,,
five_digit,summary,,text,Participant 5 digit pin,,,,,,y,,,,,,,
subid,summary,,text,Subject ID,,,,,,y,,,,,,,
timepoint,summary,,text,Timepoint,,,,,,,,,,,,,
cohort,summary,,text,Cohort,,,,,,,,,,,,,
subst_bin_d01,summary,,text,"Binary encoding
for substances
used on this day -d01",,,,,,,,,,,,,
subst_bin_d02,summary,,text,"Binary encoding
for substances
used on this day - d02",,,,,,,,,,,,,
subst_bin_d03,summary,,text,"Binary encoding
for substances
used on this day - d03",,,,,,,,,,,,,
subst_bin_d04,summary,,text,"Binary encoding
for substances
used on this day - d04",,,,,,,,,,,,,
subst_bin_d05,summary,,text,"Binary encoding
for substances
used on this day - d05",,,,,,,,,,,,,
subst_bin_d06,summary,,text,"Binary encoding
for substances
used on this day - d06",,,,,,,,,,,,,
subst_bin_d07,summary,,text,"Binary encoding
for substances
used on this day - d07",,,,,,,,,,,,,
subst_bin_d08,summary,,text,"Binary encoding
for substances
used on this day - d08",,,,,,,,,,,,,
subst_bin_d09,summary,,text,"Binary encoding
for substances
used on this day - d09",,,,,,,,,,,,,
subst_bin_d10,summary,,text,"Binary encoding
for substances
used on this day - d10",,,,,,,,,,,,,
subst_bin_d11,summary,,text,"Binary encoding
for substances
used on this day - d11",,,,,,,,,,,,,
subst_bin_d12,summary,,text,"Binary encoding
for substances
used on this day - d12",,,,,,,,,,,,,
subst_bin_d13,summary,,text,"Binary encoding
for substances
used on this day - d13",,,,,,,,,,,,,
subst_bin_d14,summary,,text,"Binary encoding
for substances
used on this day - d14",,,,,,,,,,,,,
subst_bin_d15,summary,,text,"Binary encoding
for substances
used on this day - d15",,,,,,,,,,,,,
subst_bin_d16,summary,,text,"Binary encoding
for substances
used on this day - d16",,,,,,,,,,,,,
subst_bin_d17,summary,,text,"Binary encoding
for substances
used on this day - d17",,,,,,,,,,,,,
subst_bin_d18,summary,,text,"Binary encoding
for substances
used on this day - d18",,,,,,,,,,,,,
subst_bin_d19,summary,,text,"Binary encoding
for substances
used on this day - d19",,,,,,,,,,,,,
subst_bin_d20,summary,,text,"Binary encoding
for substances
used on this day - d20",,,,,,,,,,,,,
subst_bin_d21,summary,,text,"Binary encoding
for substances
used on this day - d21",,,,,,,,,,,,,
subst_bin_d22,summary,,text,"Binary encoding
for substances
used on this day - d22",,,,,,,,,,,,,
subst_bin_d23,summary,,text,"Binary encoding
for substances
used on this day - d23",,,,,,,,,,,,,
subst_bin_d24,summary,,text,"Binary encoding
for substances
used on this day - d24",,,,,,,,,,,,,
subst_bin_d25,summary,,text,"Binary encoding
for substances
used on this day - d25",,,,,,,,,,,,,
subst_bin_d26,summary,,text,"Binary encoding
for substances
used on this day - d26",,,,,,,,,,,,,
subst_bin_d27,summary,,text,"Binary encoding
for substances
used on this day - d27",,,,,,,,,,,,,
subst_bin_d28,summary,,text,"Binary encoding
for substances
used on this day - d28",,,,,,,,,,,,,
subst_bin_d29,summary,,text,"Binary encoding
for substances
used on this day - d29",,,,,,,,,,,,,
subst_bin_d30,summary,,text,"Binary encoding
for substances
used on this day - d30",,,,,,,,,,,,,
summ_total_alc_all_drinks,summary,,text,Total drinks of any alcohol used  (1 unit = 12 oz beer = 5 oz wine = 1.5 oz liquor),,,number,,,,,,,,,,
summ_total_alc_all_d,summary,,text,Total days any alcohol used ,,,number,,,,,,,,,,
summ_avg_alc_all_drinkspd,summary,,text,Avg. drinks per day of any alcohol used (units/day),,,number,,,,,,,,,,
summ_total_tob_cigtts_amt,summary,,text,Total amount of cigarettes used  (1 unit = 1 cig),,,number,,,,,,,,,,
summ_total_tob_ecigs_amt,summary,,text,Total amount of e-cigs used  (1 unit = 15 puffs),,,number,,,,,,,,,,
summ_total_tob_chew_amt,summary,,text,Total amount of chew used  (1 unit = 1 pinch),,,number,,,,,,,,,,
summ_total_tob_cigars_amt,summary,,text,Total amount of cigars used  (1 unit = 1 cigar),,,number,,,,,,,,,,
summ_total_tob_hookah_amt,summary,,text,Total amount of hookah used  (1 unit = 1 drag or 1 puff),,,number,,,,,,,,,,
summ_total_tob_cigtts_d,summary,,text,Total days cigarettes used ,,,number,,,,,,,,,,
summ_total_tob_ecigs_d,summary,,text,Total days e-cigs used ,,,number,,,,,,,,,,
summ_total_tob_chew_d,summary,,text,Total days chew used ,,,number,,,,,,,,,,
summ_total_tob_cigars_d,summary,,text,Total days cigars used ,,,number,,,,,,,,,,
summ_total_tob_hookah_d,summary,,text,Total days hookah used ,,,number,,,,,,,,,,
summ_total_tob_all_d,summary,,text,Total days any tobacco used ,,,number,,,,,,,,,,
summ_total_scan_flw_g,summary,,text,Total grams of study cannabis flower used (1 unit = 1 gram),,,number,,,,,,,,,,
summ_total_scan_flw_d,summary,,text,Total days  study cannabis flower used,,,number,,,,,,,,,,
summ_avg_scan_flw_gpd,summary,,text,Avg. grams per day that study cannabis flower used (1 unit = 1 gram),,,number,,,,,,,,,,
summ_total_ncan_flw_g,summary,,text,Total grams of non-study cannabis flower used (1 unit = 1 gram),,,number,,,,,,,,,,
summ_total_ncan_flw_d,summary,,text,Total days that non-study cannabis flower was used,,,number,,,,,,,,,,
summ_avg_ncan_flw_gpd,summary,,text,Avg. grams per day that non-study cannabis flower used (1 unit = 1 gram) ,,,number,,,,,,,,,,
summ_avg_ncan_flwthc_perc,summary,,text,Avg. potency of non-study cannabis flower (THC) used (0-35%),,,number,,,,,,,,,,
summ_avg_ncan_flwcbd_perc,summary,,text,Avg. potency of non-study cannabis flower (CBD) used (0-35%),,,number,,,,,,,,,,
summ_total_can_flw_g,summary,,text,Total grams of study and non-study cannabis flower used  (1 unit = 1 gram),,,number,,,,,,,,,,
summ_total_can_flw_d,summary,,text,Total days study and non-study cannabis flower used ,,,number,,,,,,,,,,
summ_avg_can_flw_gpd,summary,,text,Avg. grams per day that study and non-study cannabis flower used  (1 unit = 1 gram),,,number,,,,,,,,,,
summ_total_scan_edi_mg,summary,,text,Total milligrams of study edibles (THC+CBD) used  (1 unit = 1 mg),,,number,,,,,,,,,,
